8	350	165	3693	11.5
8	318	150	3436	11.0
8	302	140	3449	10.5
8	429	198	4341	10.0
8	440	215	4312	8.5
8	455	225	4425	10.0
8	383	170	3563	10.0
8	340	160	3609	8.0
8	455	225	3086	10.0
4	113	95	2372	15.0
6	199	97	2774	15.5
4	97	46	1835	20.5
4	110	87	2672	17.5
4	104	95	2375	17.5
4	121	113	2234	12.5
8	360	215	4615	14.0
8	307	200	4376	15.0
8	304	193	4732	18.5
4	97	88	2130	14.5
4	113	95	2228	14.0
6	250	100	3329	15.5
6	232	100	3288	15.5
8	350	165	4209	12.0
8	318	150	4096	13.0
8	400	170	4746	12.0
8	400	175	5140	12.0
4	140	72	2408	19.0
6	250	100	3282	15.0
4	122	86	2220	14.0
4	116	90	2123	14.0
4	88	76	2065	14.5
4	71	65	1773	19.0
4	97	60	1834	19.0
4	91	70	1955	20.5
4	98	80	2126	17.0
4	122	86	2226	16.5
8	350	165	4274	12.0
8	318	150	4135	13.5
8	351	153	4129	13.0
8	429	208	4633	11.0
8	350	155	4502	13.5
8	400	190	4422	12.5
3	70	97	2330	13.5
8	307	130	4098	14.0
8	302	140	4294	16.0
4	121	112	2933	14.5
4	121	76	2511	18.0
4	122	86	2395	16.0
4	120	97	2506	14.5
4	98	80	2164	15.0
8	350	175	4100	13.0
8	304	150	3672	11.5
8	302	137	4042	14.5
8	318	150	3777	12.5
8	400	150	4464	12.0
8	351	158	4363	13.0
8	440	215	4735	11.0
8	455	225	4951	11.0
6	225	105	3121	16.5
6	250	100	3278	18.0
6	250	88	3021	16.5
6	198	95	2904	16.0
8	400	150	4997	14.0
8	350	180	4499	12.5
6	232	100	2789	15.0
4	140	72	2401	19.5
4	108	94	2379	16.5
4	122	85	2310	18.5
6	155	107	2472	14.0
8	350	145	4082	13.0
8	400	230	4278	9.5
4	116	75	2158	15.5
4	114	91	2582	14.0
8	318	150	3399	11.0
4	121	110	2660	14.0
8	350	180	3664	11.0
6	198	95	3102	16.5
6	232	100	2901	16.0
4	122	80	2451	16.5
4	71	65	1836	21.0
6	250	100	3781	17.0
6	258	110	3632	18.0
8	302	140	4141	14.0
8	350	150	4699	14.5
8	302	140	4638	16.0
8	304	150	4257	15.5
4	79	67	1963	15.5
4	97	78	2300	14.5
4	83	61	2003	19.0
4	90	75	2125	14.5
